
******2019/12/4 16:43:51******
temp:100
1.084615 r/s
0.442965 m/s

1.053846 r/s
0.430398 m/s

1.138462 r/s
0.464956 m/s

0.976923 r/s
0.398982 m/s

1.030769 r/s
0.420973 m/s

1.084615 r/s
0.442965 m/s

0.980769 r/s
0.400553 m/s

1.034615 r/s
0.422544 m/s

1.111538 r/s
0.453960 m/s

0.988462 r/s
0.403695 m/s

1.103846 r/s
0.450818 m/s

1.073077 r/s
0.438252 m/s

1.053846 r/s
0.430398 m/s

1.088462 r/s
0.444535 m/s

1.053846 r/s
0.430398 m/s

1.142308 r/s
0.466526 m/s

0.976923 r/s
0.398982 m/s

1.034615 r/s
0.422544 m/s

1.080769 r/s
0.441394 m/s

0.992308 r/s
0.405265 m/s

1.034615 r/s
0.422544 m/s

1.130769 r/s
0.461814 m/s

0.996154 r/s
0.406836 m/s

1.111538 r/s
0.453960 m/s

1.076923 r/s
0.439823 m/s

1.057692 r/s
0.431969 m/s

1.084615 r/s
0.442965 m/s

1.050000 r/s
